file,section,group,id,text
actor_name.csv,Enemy,1,r05_non_cml4_crf,Alter Crawford
actor_name.csv,Enemy,1,r05_stl_bhu_ba1,Alter Noetica
actor_name.csv,Enemy,1,r03_nat_mam_deh,High Zo Marmoth
actor_name.csv,Enemy,1,r05_rem_ang_ba1,Ruine Anga
actor_name.csv,EnemyTitle,1,EnemyTitleReplicaEnemy,Simulacrum
common.csv,LobbyAction,1,LobbyAction_2567fifth,Stardust of Genesis
common.csv,LobbyAction,1,LobbyAction_margaretaposere,Margareta Pose +
common.csv,LobbyAction,1,LobbyAction_almaposere,Alma Pose +
common.csv,LobbyAction,1,LobbyAction_aogusmalre,Fan 1 +
common.csv,LobbyAction,1,LobbyAction_kyoukire,Overjoyed +
common.csv,LobbyAction,1,LobbyAction_2529npcpose,Lucia Pose
common.csv,LobbyAction,1,LobbyAction_2458provocation,Provoke 3
common.csv,LobbyAction,1,LobbyAction_2522pose,Pose 26
common.csv,LobbyAction,1,LobbyAction_2472sword,Weapon Display Pose/2
common.csv,LobbyAction,1,LobbyAction_2563keypose,Creators Style 2
common.csv,LobbyAction,1,LobbyAction_2527cat,Like a Cat
common.csv,LobbyAction,1,LobbyAction_chillout,Rest
common.csv,LobbyAction,1,LobbyAction_2521cpose,Wushu Pose 2
common.csv,LobbyAction,1,LobbyAction_2542weaponact,Weapon Performance
common.csv,LobbyAction,1,LobbyAction_2530handopen,Open 10
common.csv,LobbyAction,1,LobbyActionCategory_48,Emotes: Weapon Display Poses 2
common.csv,LobbyAction,1,LobbyActionCategoryTab_48,$(0). Weapon Display Poses 2
common.csv,Substitute,1,Substitute_Idle_339,Model Pose 6 EX
common.csv,Substitute,1,Substitute_Idle_420,Propeller Engine/B
common.csv,Substitute,1,Substitute_Idle_421,R Mag Minimo/B
common.csv,Substitute,1,Substitute_Idle_422,Umbrella/F
common.csv,Substitute,1,Substitute_Idle_423,Alice Margatroid
common.csv,Substitute,1,Substitute_Idle_424,Youmu Konpaku
common.csv,Substitute,1,Substitute_Idle_425,Yukari Yakumo
common.csv,Substitute,1,Substitute_Idle_426,Yuyuko Saigyouji
common.csv,Substitute,1,Substitute_Idle_427,Hip-Shaking Dance
common.csv,Substitute,1,Substitute_Idle_428,Fidget
common.csv,Substitute,1,Substitute_Idle_429,Standing Pose 9
common.csv,Substitute,1,Substitute_Idle_430,Standing Pose 10
common.csv,Substitute,1,Substitute_Idle_431,Zundamon
common.csv,Substitute,1,Substitute_Idle_432,Zundamon 2
common.csv,Substitute,1,Substitute_Idle_433,Signature Pose 7
common.csv,Substitute,1,Substitute_Idle_434,Dark Magic 2
common.csv,Substitute,1,Substitute_Idle_435,Dark Magic 2 EX
common.csv,Substitute,1,Substitute_Idle_436,Waking Up
common.csv,Substitute,1,Substitute_Idle_437,Bang Bang
common.csv,Substitute,1,Substitute_Idle_438,Hands Behind Back 3
common.csv,Substitute,1,Substitute_Idle_439,Hand on Hip 5
common.csv,Substitute,1,Substitute_Idle_440,Riding a Rappy
common.csv,Substitute,1,Substitute_Idle_443,Hip-Shaking Dance EX
common.csv,Substitute,1,Substitute_Idle_444,Fidget EX
common.csv,Substitute,1,Substitute_Idle_445,Woof
common.csv,Substitute,1,Substitute_Idle_446,Woof EX
common.csv,Substitute,1,Substitute_Idle_447,NGS 1st Anniv. (Aina)
common.csv,Substitute,1,Substitute_Idle_448,NGS 1st Anniv. (Manon)
common.csv,Substitute,1,Substitute_Jump_38,Riding a Rappy
common.csv,Substitute,1,Substitute_Landing_44,Riding a Rappy
common.csv,Substitute,1,Substitute_Move_97,Yuyuko Saigyouji
common.csv,Substitute,1,Substitute_Move_98,Dark Magic 2
common.csv,Substitute,1,Substitute_Move_99,Riding a Rappy
common.csv,Substitute,1,Substitute_Sprint_260,Star Riding/B
common.csv,Substitute,1,Substitute_Sprint_261,Majestic Wings/B
common.csv,Substitute,1,Substitute_Sprint_262,Yuyuko Saigyouji
common.csv,Substitute,1,Substitute_Sprint_263,Dark Magic 2
common.csv,Substitute,1,Substitute_Sprint_264,Riding a Rappy
common.csv,Substitute,1,Substitute_Glide_247,Star Riding/B
common.csv,Substitute,1,Substitute_Glide_248,Yuyuko Saigyouji
common.csv,Substitute,1,Substitute_Glide_249,Dark Magic 2
common.csv,Substitute,1,Substitute_Glide_250,Dark Magic 2 EX
common.csv,Substitute,1,Substitute_Glide_251,Riding a Rappy
lineduel_text.csv,CardName,1,2571,Luther
lineduel_text.csv,CardName,1,2620,Matoi
lineduel_text.csv,CardName,1,2621,Matoi
lineduel_text.csv,CardName,1,2630,Sukunahime
lineduel_text.csv,CardName,1,2631,Sukunahime
lineduel_text.csv,CardName,1,2640,Maria
lineduel_text.csv,CardName,1,2641,Maria
lineduel_text.csv,CardName,1,2650,Predecessor DF [Apprentice]
lineduel_text.csv,CardName,1,2651,Predecessor DF [Apprentice]
lineduel_text.csv,CardName,1,2660,Klariskrays
lineduel_text.csv,CardName,1,2661,Klariskrays
lineduel_text.csv,CardName,1,2670,Huey
lineduel_text.csv,CardName,1,2671,Huey
lineduel_text.csv,CardName,1,2680,Katori
lineduel_text.csv,CardName,1,2681,Katori
lineduel_text.csv,CardName,1,2690,Saga
lineduel_text.csv,CardName,1,2691,Saga
lineduel_text.csv,CardName,1,2700,Zeno
lineduel_text.csv,CardName,1,2701,Zeno
lineduel_text.csv,CardName,1,2710,Afin
lineduel_text.csv,CardName,1,2711,Afin
lineduel_text.csv,CardName,1,2720,Quna
lineduel_text.csv,CardName,1,2721,Quna
lineduel_text.csv,CardName,1,2730,Aina
lineduel_text.csv,CardName,1,2731,Aina
lineduel_text.csv,CardName,1,2740,Risa
lineduel_text.csv,CardName,1,2741,Risa
lineduel_text.csv,CardName,1,2750,Regius
lineduel_text.csv,CardName,1,2751,Regius
lineduel_text.csv,CardName,1,2760,Manon
lineduel_text.csv,CardName,1,2761,Manon
lineduel_text.csv,CardName,1,2770,Casra
lineduel_text.csv,CardName,1,2771,Casra
lineduel_text.csv,CardName,1,2840,Raguo Rappy 1
lineduel_text.csv,CardName,1,2841,Raguo Rappy 1
lineduel_text.csv,CardName,1,2850,Raguo Rappy 2
lineduel_text.csv,CardName,1,2851,Raguo Rappy 2
lineduel_text.csv,CardName,1,2860,Raguo Rappy 3
lineduel_text.csv,CardName,1,2861,Raguo Rappy 3
lineduel_text.csv,CardName,1,2870,Raguo Rappy 4
lineduel_text.csv,CardName,1,2871,Raguo Rappy 4
lineduel_text.csv,CardName,1,2880,Raguo Rappy 5
lineduel_text.csv,CardName,1,2881,Raguo Rappy 5
lineduel_text.csv,CardName,1,2891,Alice Margatroid
lineduel_text.csv,CardName,1,2901,Youmu Konpaku
lineduel_text.csv,CardName,1,2911,Yuyuko Saigyouji
lineduel_text.csv,CardName,1,2921,Yukari Yakumo
lineduel_text.csv,CardName,1,2931,Chen
lineduel_text.csv,CardName,1,2941,Ran Yakumo
lineduel_text.csv,CardName,1,3071,Elmir
lineduel_text.csv,CardName,1,3081,Summer Rappy
lineduel_text.csv,CardName,1,90480,Falspawn Army
lineduel_text.csv,CardName,1,90481,Falspawn Army
lineduel_text.csv,CardTitle,1,2571,Super Phantasy Festival
lineduel_text.csv,CardTitle,1,2620,A New Guardian
lineduel_text.csv,CardTitle,1,2621,A New Guardian
lineduel_text.csv,CardTitle,1,2630,Breath of the Gods
lineduel_text.csv,CardTitle,1,2631,Breath of the Gods
lineduel_text.csv,CardTitle,1,2640,One Who Knows the Past
lineduel_text.csv,CardTitle,1,2641,One Who Knows the Past
lineduel_text.csv,CardTitle,1,2660,Accidental Caster
lineduel_text.csv,CardTitle,1,2661,Accidental Caster
lineduel_text.csv,CardTitle,1,2670,Blazing Fist
lineduel_text.csv,CardTitle,1,2671,Blazing Fist
lineduel_text.csv,CardTitle,1,2680,Secretly Taking a Break
lineduel_text.csv,CardTitle,1,2681,Secretly Taking a Break
lineduel_text.csv,CardTitle,1,2690,Secretly Observing
lineduel_text.csv,CardTitle,1,2691,Secretly Observing
lineduel_text.csv,CardTitle,1,2700,Unbreakable Fighting Spirit
lineduel_text.csv,CardTitle,1,2701,Unbreakable Fighting Spirit
lineduel_text.csv,CardTitle,1,2710,Good Buddy
lineduel_text.csv,CardTitle,1,2711,Good Buddy
lineduel_text.csv,CardTitle,1,2720,Wielder of Mai the Unseen
lineduel_text.csv,CardTitle,1,2721,Wielder of Mai the Unseen
lineduel_text.csv,CardTitle,1,2730,5! Go! Beyond!!!
lineduel_text.csv,CardTitle,1,2731,5! Go! Beyond!!!
lineduel_text.csv,CardTitle,1,2740,Ruinous Atrocity
lineduel_text.csv,CardTitle,1,2741,Ruinous Atrocity
lineduel_text.csv,CardTitle,1,2750,Lightning Fang Star Slash
lineduel_text.csv,CardTitle,1,2751,Lightning Fang Star Slash
lineduel_text.csv,CardTitle,1,2760,5! Go! Beyond!!!
lineduel_text.csv,CardTitle,1,2761,5! Go! Beyond!!!
lineduel_text.csv,CardTitle,1,2770,Observer
lineduel_text.csv,CardTitle,1,2771,Observer
lineduel_text.csv,CardTitle,1,2840,Super Genesis Festival
lineduel_text.csv,CardTitle,1,2841,Super Genesis Festival
lineduel_text.csv,CardTitle,1,2850,Super Genesis Festival
lineduel_text.csv,CardTitle,1,2851,Super Genesis Festival
lineduel_text.csv,CardTitle,1,2860,Super Genesis Festival
lineduel_text.csv,CardTitle,1,2861,Super Genesis Festival
lineduel_text.csv,CardTitle,1,2870,Super Genesis Festival
lineduel_text.csv,CardTitle,1,2871,Super Genesis Festival
lineduel_text.csv,CardTitle,1,2880,Super Genesis Festival
