file,section,group,id,text
item_series_name.csv,SERIES,1,15uniqueA2,Rinz Series
item_series_name.csv,SERIES,1,15Jstyle2,Ascillusion Series
item_series_name.csv,SERIES,1,Legend5,Levarenz Series
ui_accessories_text.csv,decoy,1,No116900,Line Strike Ring
ui_accessories_text.csv,decoy,1,No118120,Shoulder Recon Sensor
ui_accessories_text.csv,decoy,1,No118121,Shoulder Recon Sensor/B
ui_accessories_text.csv,decoy,1,No118170,Cyber Shuriken
ui_accessories_text.csv,decoy,1,No118171,Cyber Shuriken/B
ui_accessories_text.csv,decoy,1,No124950,Swept Wing Thrusters
ui_accessories_text.csv,decoy,1,No124951,Swept Wing Thrusters/B
ui_accessories_text.csv,decoy,1,No125979,Malphiza Earring
ui_accessories_text.csv,decoy,1,No125989,Malphiza Mask
ui_accessories_text.csv,decoy,1,No126240,Arm Blade Effect L
ui_accessories_text.csv,decoy,1,No126241,Arm Blade Effect R
ui_accessories_text.csv,decoy,1,No126242,Arm Blades Effect
ui_accessories_text.csv,decoy,1,No126250,Gothica Crest Shield
ui_accessories_text.csv,decoy,1,No126260,Artificial Horns
ui_accessories_text.csv,decoy,1,No126660,Zundamon's Ears
ui_accessories_text.csv,decoy,1,No126670,Fairy Zundamon's Tail
ui_accessories_text.csv,decoy,1,No126680,Fairy Zundamon Shoulder-Mount
ui_accessories_text.csv,decoy,1,No126690,Fluffy Zundamon Hat
ui_accessories_text.csv,decoy,1,No126700,Zunda Paste Dango
ui_accessories_text.csv,decoy,1,No126830,Ring of Darkness
ui_accessories_text.csv,decoy,1,No126840,Brilliant Shoulder Veil
ui_accessories_text.csv,decoy,1,No127020,Brissa Aery
ui_accessories_text.csv,decoy,1,No127030,Brissa Oggi
ui_accessories_text.csv,decoy,1,No127040,Brissa Marni
ui_accessories_text.csv,decoy,1,No127050,Invader Mask
ui_accessories_text.csv,decoy,1,No127060,Inward Curl Antennas
ui_accessories_text.csv,decoy,1,No127070,N-Dual Eyes A/2
ui_accessories_text.csv,decoy,1,No127080,N-Dual Eyes B/2
ui_accessories_text.csv,decoy,1,No127090,Snake Extension
ui_accessories_text.csv,decoy,1,No127100,Cyber Choker
ui_accessories_text.csv,decoy,1,No127110,Octopus Legs
ui_accessories_text.csv,decoy,1,No127120,Grand Gem Earrings
ui_accessories_text.csv,decoy,1,No127130,Chain Ankle Flourish
ui_accessories_text.csv,decoy,1,No127140,Chaos Headphones
ui_accessories_text.csv,decoy,1,No127150,Luminous Particles
ui_accessories_text.csv,decoy,1,No127160,Bead Deco Nail Tips
ui_accessories_text.csv,decoy,1,No127170,Fluffy Crown
ui_accessories_text.csv,decoy,1,No127180,Toothbrush
