ui_accessories_text.text was created: 04-07-2026 7:33:54
Filesize is: 1108672 bytes

decoy
Group 0
No00000 - なし
No00001 - ウィオラキャップ
No00002 - ファームイヤーマフ
No00003 - ヘイズハット
No00004 - ナースキャップ
No00008 - ヘッドセット
No00009 - ラウンドメガネ
No00010 - オーバルフチありメガネ
No00011 - スクエアメガネ
No00012 - ウェリントンメガネ
No00013 - ラウンドサングラス
No00016 - クルーンハット
No00017 - 楕円メガネ
No00018 - ナースキャップＢ
No00019 - ラージラウンドメガネ
No00020 - 略帽
No00021 - ラウンドサングラス  頭の上
No00022 - アイディスプレイ
No00025 - ゴーグル
No00026 - ファッショングラス
No00027 - キャンディーヘッドギア
No00028 - ベレー帽
No00029 - 赤縁メガネ
No00030 - ヘッドギア
No00031 - トーク帽
No00032 - 背高帽
No00033 - スポーツサングラス
No00034 - プリムヘッドフォン
No00035 - ヘッドアクセサリー
No00036 - ブリッツガーダー
No00038 - 腕章
No00040 - ネコ耳
No00041 - オーガキャッツイヤー
No00044 - きつね耳
No00045 - たれきつね耳
No00060 - アイハット
No00061 - アイハット影
No00062 - アイハット鋼
No00063 - アイハット月
No00064 - アイハット銀
No00065 - ムサシハット
No00070 - サイバーグラス
No00072 - サイバーグラスＢ
No00082 - ミコトコサージュ
No00083 - ミコトコサージュＢ
No00084 - 命の飾
No00090 - 悔恨の【仮面】
No00091 - 失意の【仮面】
No00092 - 決意の【仮面】
No00100 - ヘッドギア影
No00101 - ヘッドギア月
No00102 - ヘッドギア紅
No00103 - ヘッドギア葉
No00110 - ウェディングコサージュ
No00111 - ブラックローズ
No00112 - ウェディングコサージュＢ
No00120 - メイドカチューシャ
No00130 - ベレー帽　月
No00131 - ベレー帽　夜
No00132 - ベレー帽　葉
No00133 - ベレー帽　陽
No00170 - ファームイヤーマフ影
No00171 - ファームイヤーマフ陽
No00172 - ファームイヤーマフ栗
No00210 - フリューヘッド
No00211 - フリューヘッド栗
No00212 - フリューヘッド影
No00213 - フリューヘッド紅
No00220 - 背高帽　桜
No00221 - 背高帽　葉
No00222 - 背高帽　海
No00223 - 背高帽　陽
No00230 - ハロウィンヘッド
No00231 - ジャックヘッド
No00240 - ハロウィンハット
No00241 - ジャックハット
No00250 - ハイビスカス
No00251 - クールハイビスカス
No00260 - アルフマスク
No00261 - アルフマスク雅
No00262 - アルフマスク空
No00263 - アルフマスク桜
No00264 - アルフマスク陽
No00270 - ふわふわ毛　小
No00271 - ふわふわ毛　中
No00272 - ふわふわ毛　大
No00280 - クルーンハット影
No00281 - クルーンハット銀
No00282 - クルーンハット雅
No00283 - クルーンハット月
No00290 - ウィオラキャップ夜
No00291 - ウィオラキャップ紅
No00292 - ウィオラキャップ鋼
No00293 - ウィオラキャップ影
No00294 - ウィオラキャップ玄
No00300 - サンタ帽
No00301 - ひげ付サンタ帽
No00302 - 黒ぶちサンタ帽
No00303 - 黒ぶちひげ付サンタ帽
No00310 - アークス士官帽Ａ
No00311 - アークス士官帽Ｃ
No00312 - アークス士官帽Ｅ
No00320 - アークス士官帽Ｂ
No00321 - アークス士官帽Ｄ
No00322 - アークス士官帽Ｆ
No00330 - ブリンクバイザー
No00331 - レッドブリンクバイザー
No00332 - ブラックブリンクバイザー
No00342 - 【若人】バイザー
No00343 - 【若人】バイザーＢ
No00350 - キャンディーヘッドギア雪
No00351 - キャンディーヘッドギア桜
No00352 - キャンディーヘッドギア影
No00353 - キャンディーヘッドギア玄
No00360 - ヘイズハット紅
No00361 - ヘイズハット夜
No00362 - ヘイズハット影
No00363 - ヘイズハット鋼
No00370 - ブリッツガーダー空
No00371 - ブリッツガーダー陽
No00372 - ブリッツガーダー紅
No00380 - プリムヘッドフォン銀
No00381 - プリムヘッドフォン鋼
No00382 - プリムヘッドフォン影
No00390 - Ｎシュヴァンツセンサー
No00391 - ＮシュヴァンツセンサーＣＶ
No00400 - ゼルシウスヘッドギア
No00401 - ゼルシウスヘッドギア雪
No00402 - ゼルシウスヘッドギア紅
No00403 - ゼルシウスヘッドギア海
No00404 - ゼルシウスヘッドギア７１１
No00410 - ミラセリアヘッドギア
No00411 - ミラセリアヘッドギア７１１
No00412 - ミラセリアヘッドギアＢ
No01010 - エレファントヘッド
No01020 - ホワイトライオンヘッド
No01040 - バロンマスク
No01100 - 羽衣飾り
No01111 - フリートキャップ
No01112 - フリートキャップＢ
No01113 - フリートキャップＣ
No01121 - マリーネキャップ
No01122 - マリーネキャップＢ
No01123 - マリーネキャップＣ
No01131 - ホーンヘッドギア
No01141 - エレファントヘッドギア
No01151 - テトラシールド
No01162 - フラムティアラ
No01163 - フラムピアス
No01171 - 竜の翼
No01172 - 竜の翼Ｂ
No01181 - 竜の角
No01182 - 竜の角Ｂ
No01191 - 竜の尻尾
No01192 - 竜の尻尾Ｂ
No01221 - マーセナリーバイザー
No01222 - マーセナリーバイザーＢ
No01250 - アルキュリアショルダーＡ
No01251 - アルキュリアショルダーＢ
No01252 - アルキュリアショルダーＣ
No02001 - 武人笠
No02012 - クジャクカンムリ　赤
No02013 - クジャクカンムリ　黄
No02020 - 軍師帽　黒
No02021 - 軍師帽
No02022 - 軍師帽　赤
No02031 - パンダキャップ
No02041 - プラムカチューシャ
No02051 - 火炎輪
No02061 - 武人マント
No02062 - 武人マントＢ
No02071 - 帯刀ベルト
No02081 - ベアランタン
No02082 - パンダランタン
No02150 - クロクマリュック
No02171 - リュウシヘルム
No02172 - リュウシヘルムＢ
No02181 - リュミオカンムリ
No02182 - リュミオカンムリＢ
No03000 - スイカヘッド
No03011 - エアリーリボン
No03012 - ホワイトエアリーリボン
No03013 - ブラックエアリーリボン
No03020 - トウシャカブト
No03021 - トウシャカブト葉
No03022 - トウシャカブト影
No03023 - トウシャカブト雅
No03030 - オウカカザリ
No03031 - オウカカザリ影
No03032 - オウカカザリ月
No03034 - オウカカザリ雅
No03040 - ウタヒメカンムリ
No03042 - ウタヒメカンムリＢ
No03050 - ディーラーインカム
No03051 - ディーラーインカムＢ
No03061 - スクナヒメの角
No03062 - スクナヒメの角７１１
No03080 - コトシロの眼帯
No03081 - コトシロの眼帯７１１
No03082 - コトシロの眼帯Ｂ
No03090 - コトシロの顎当て
No03091 - コトシロの顎当て７１１
No03092 - コトシロの顎当てＢ
No03100 - オミエボシ
No03110 - カグラエボシ
No03120 - 貝殻コサージュ
No03130 - ビーチパラソル　赤
No03131 - ビーチパラソル　青
No03132 - ビーチパラソル　黄
No03140 - 亀の甲羅
No03150 - 巾着袋
No03160 - ループブレスレットＰ
No03161 - ループブレスレットＢ
No03162 - ループブレスレットＹ
No03163 - ループブレスレットＧ
No03164 - ループアンクレットＰ
No03165 - ループアンクレットＢ
No03166 - ループアンクレットＹ
No03167 - ループアンクレットＧ
No03170 - カブトホーン
No03180 - クワホーン
No03190 - 妖狐の白尻尾
No03191 - 妖狐の黄尻尾
No03192 - 妖狐の尻尾
No03193 - 妖狐の尻尾Ｂ
No03200 - 黒カラステングの面
No03201 - 赤カラステングの面
No03202 - 白カラステングの面
No03203 - 黒カラステングの面Ｂ
