config.text was created: 04-07-2026 7:33:46
Filesize is: 232960 bytes

Config
Group 0
Title - オプション
Category_Game - ゲーム設定
Category_Game_Hint - ゲームプレイに関連する機能や<br>カメラ操作などの設定をします。
Category_Device - 操作設定
Category_Device_Hint - キーボード・マウス・<%GamePad>など<br>入力機器に関連する設定をします。
Category_Sound - 音声設定
Category_Sound_Hint - 音声に関連する設定をします。
Category_Graphics - 描画設定
Category_Graphics_Hint - グラフィックの描画に関連する設定をします。
SubCategory_GameFunction - 機能設定
SubCategory_GameFunction_Hint - ゲーム内の各種機能について設定をします。
SubCategory_Camera - カメラ設定
SubCategory_Camera_VITA - ゲーム内カメラ設定
SubCategory_Camera_Hint - カメラの挙動に関連する設定をします。
SubCategory_TextEffect - テキスト演出設定
SubCategory_TextEffect_Hint - ダメージやアイテム取得表示など<br>テキスト演出に関連する設定をします。
SubCategory_Notice - 通知設定
SubCategory_Notice_Hint - ゲーム内の各種通知について設定をします。
SubCategory_Talk - 会話設定
SubCategory_Talk_Hint - 会話システムに関連する設定をします。
SubCategory_Capture - 撮影設定
SubCategory_Capture_Hint - スクリーンショットに関連する設定をします。
SubCategory_Other - その他設定
SubCategory_Other_Hint - エステ、ライドロイド、ダークブラスト<br>などのシステムに関連する設定をします。
SubCategory_InputGuide - 操作ガイド表示タイプ
SubCategory_InputGuide_Hint - ゲーム内で表示される操作ガイドの<br>表示タイプを設定します。
SubCategory_PadDefine - コントローラー設定
SubCategory_PadDefine_Hint - コントローラーの初期設定をします。
SubCategory_KeyBind_Pad - 機能割当（<%GamePad>）
SubCategory_KeyBind_Pad_Hint - <%GamePad>の入力を<br>どの機能に割り当てるか設定します。
SubCategory_KeyBind_Mouse - 機能割当（マウス）
SubCategory_KeyBind_Mouse_Hint - マウスの入力を<br>どの機能に割り当てるか設定します。
SubCategory_KeyBind_Keyboard - 機能割当（キーボード）
SubCategory_KeyBind_Keyboard_Hint - キーボードの入力を<br>どの機能に割り当てるか設定します。
SubCategory_MainInputDevice - おもに使用する操作機器
SubCategory_MainInputDevice_Hint - おもに使用する操作機器を選択します。
SubCategory_ActionType - アクションタイプ選択
SubCategory_ActionType_Hint - アクションタイプを選択します。
SubCategory_SoundVolume - 音量
SubCategory_SoundVolume_Hint - BGMやSEなどの音量の設定をします。
SubCategory_SoundFunction - 再生機能
SubCategory_SoundFunction_Hint - 音声再生に関連する機能の設定をします。
SubCategory_GraphicsFunction - 描画機能
SubCategory_GraphicsFunction_Hint - 描画に関連する機能の設定をします。
SubCategory_GraphicsQuality - 表示品質
SubCategory_GraphicsQuality_Hint - 表示品質の設定をします。
SubCategory_FilterView - 画面フィルター<pict Arcscash>
SubCategory_FilterView_Hint - 画面フィルターの設定をします。
SubCategory_ResetWindow - ウィンドウ初期化
SubCategory_ResetWindow_Hint - 全ウィンドウの表示位置と表示サイズを<br>初期化します。
SubCategory_GraphicsPreset - 簡易グラフィック設定
SubCategory_GraphicsPreset_Hint - グラフィック設定を一括設定します。
GraphicsPreset_Button_Run - 簡易グラフィック設定を行う
GraphicsPreset_Info - グラフィック設定を一括設定します。<br>数値を高く設定すると描画クオリティが高くなりますが<br>処理負荷が大きくなります。<br><br>ご利用の環境の推奨設定は <yellow>$(0)<c> です。
GraphicsPreset_Info_CS - グラフィック設定を一括設定します。<br>数値を高く設定すると描画クオリティが高くなりますが<br>処理負荷が大きくなります。
GraphicsPreset_Button_Change - 変更
GraphicsPreset_Button_Cancel - キャンセル
GraphicsPreset_choice_1 - 1：最低
GraphicsPreset_choice_2 - 2：低
GraphicsPreset_choice_3 - 3：中
GraphicsPreset_choice_4 - 4：高
GraphicsPreset_choice_5 - 5：スーパー
GraphicsPreset_choice_6 - 6：ウルトラ
GraphicsPreset_choice_1_CS - 1：フレームレート重視
GraphicsPreset_choice_2_CS - 2：バランス重視
GraphicsPreset_choice_3_CS - 3：画質重視
LogoutGuide_Title - 設定の適用について
LogoutGuide_Message - 変更した描画設定の一部は<br>次回ログインから適用されます。<br><br>今すぐログアウトしますか？
LogoutGuide_Message_CantLogout - 変更した描画設定の一部は<br>次回ログインから適用されます。
MenuTreeBasic - 基本設定
MenuTreeDirection - 演出設定
MenuTreeDraw - 描画設定
MenuTreeSound - 音声設定
MenuTreeControl - 操作設定
MenuTreeCommunication - コミュニケーション
MenuTreeSystem - システム
MenuButtonBasic - 基本設定
MenuButtonNotice - 通知設定
MenuButtonCamera - カメラ設定
MenuButtonCamera_v - ゲーム内カメラ設定
MenuButtonShoot - 撮影設定
MenuButtonChat - チャット設定
MenuButtonDirection - 演出設定
MenuButtonDrawFunction - 描画機能
MenuButtonDrawFilter - 画面フィルター<pict Arcscash>
MenuButtonDrawShadow - 影設定
MenuButtonDrawDisplay - 表示設定
MenuButtonSound - 音声設定
MenuButtonOperationType - おもに使用する操作機器
MenuButtonActionType - アクションタイプ選択
MenuButtonSndVolume - 音量
MenuButtonSndPlay - 再生設定
MenuButtonCtrl - 操作設定
MenuButtonCtrlKeybord - キーボード操作
MenuButtonCtrlMouse - マウス操作
MenuButtonCtrlAnnounce - 操作アナウンス
MenuButtonCtrlPadBehavior - ゲームパッド設定
MenuButtonCtrlPadCtrl - ゲームパッド操作
MenuButtonCommunication - コミュニケーション設定
MenuButtonWindow - ウィンドウ初期化
MenuButtonEsthetic - エステ設定
MenuButtonRideroid - ライドロイド設定
MenuButtonPollute - ダークブラスト設定
MenuButtonSystem - システム
MenuButtonReset - 設定の初期化
MenuButtonExit - 破棄して戻る
MenuButtonExitWithSave - 変更を反映して戻る
ThreeChoiceMenuTitle - 終了確認
ThreeChoiceMenuMessageApply - オプション画面を閉じて戻ります。<br>変更を反映しますか？<br>
ThreeChoiceMenuButtonExit - 破棄して戻る
ThreeChoiceMenuButtonExitWithSave - 変更を反映して戻る
ThreeChoiceMenuButtonCancel - キャンセル
ConfirmTitleInit - 初期化確認
ConfirmMessageInit - すべてのオプション設定を初期化します。<br>よろしいですか？
ConfirmTitle - 終了確認
ConfirmMessageApply - 変更を反映します。<br>よろしいですか？
ConfirmMessageDisapply - 変更を破棄します。<br>よろしいですか？
ConfirmButtonApply - 変更を保存して終了する
ConfirmButtonDisapply - 変更を破棄して終了する
ConfirmButtonCancel - オプションに戻る
BasicTextRadarMapDirection - レーダーマップの回転方法
BasicTextMoviePlay - 巨大モニター動画再生設定
BasicTextSmutFilter - テキストフィルタリング設定
BasicTextLockon - ロックオン操作
BasicTextPaletteChange - 裏パレット切り替え操作
BasicTextKeyMoveEscape - キーボード操作時の回避アクション操作設定
BasicTextFeaturedEvents - イベント注目操作
BasicTextMesetaAuto - メセタの自動拾い機能設定
BasicTextCharacterColor - 他パーティーに参加中のキャラクター名カラー設定
BasicTextAttackProperty - ダメージ攻撃属性によるHPバーのカラー設定
BasicTextAutoPartyName - 自動パーティー名設定
BasicTextBeginner - レベル20以下時のログインブロック設定
BasicTextSubActionPalletName - 選択中のサブパレット内容を表示
BasicTextRareDrop - レアアイテムのドロップ演出表示設定
BasicTextRareautoget - レアアイテムの即時取得設定
BasicTextWarehouseCursor - 倉庫の初期カーソル位置設定
BasicTextPetStatus - ペットのパラメーター情報表示設定
BasicTextEtrialMap - Ｅトライアル発生時のレーダーマップ切り替え
BasicTextPolluteVoice - ダークブラストの専用ボイス
BasicMltPtMatchingCursor - クエスト受注時の初期カーソル位置設定
BasicTextPopMenu - キャラクターメニューの表示形式
BasicTextGatSimpleStatus - 簡易ギャザリング情報の表示
BasicTextComeBack - 復帰プレイヤーアイコン表示切り替え
VitaCtrlTextSwapLR - L/Rボタン機能入れ替え（カスタム時無効）
VitaCtrlTextSwapStartSelect - START/SELECTボタン機能入れ替え(カスタム時無効)
VitaCtrlTextNormalCtrlType - 通常視点操作タイプ
VitaCtrlTextShoulderCtrlType - 肩越し視点操作タイプ
VitaCtrlTextSavePartySetting - パーティー設定の保存
VitaCtrlTextLockonChange - <%RStick>によるロックオン切り替え
VitaCtrlTextNavi - ナビアイコン表示切り替え
BasicHintRadarMapDirection - レーダーマップを、カメラの向きに合わせて<br>回転するかどうか設定します。
BasicHintMoviePlay - アークス・ロビーに設置されている巨大モニターで<br>表示される動画再生のON/OFFを切り替えます。<br>※この設定は再起動後に有効になります。
BasicHintSmutFilter - 「使用する」を選ぶと、公序良俗に反する言葉を表示しないようにすることができます。
BasicHintLockon - ロックオン操作を切り替える方法を設定します。<br>ボタンやキーを押すたびに切り替えるか、<br>押している間のみ切り替えるかを選択します。
