section,group,id,text
Word,0,Scene1GoAction,カーット！<br>演技プランがなってないＺＥ！
Word,0,Scene2GoAction,カーット！<br>アクターのソウルを感じられないNE！
Word,0,Scene3GoAction,ホーリーシット！<br>だが、フィルムはノンストップだ！
Word,0,Scene1SaveAction,さぁて、クランクインの時間だＮＥ！
Word,0,Scene2SaveAction,ふぅむ……ここはひとつ<br>ブックをチェンジするとしよう！
Word,0,Scene3SaveAction,ネクストシーズンの<br>撮影といこうじゃないか！
Word,0,AtkBomb,アァクシ
Word,1,Scene1GoAction,CUT!<br>Stick to the script!
Word,1,Scene2GoAction,"CUT!<br>Dig deeper, show me some EMOTION!"
Word,1,Scene3GoAction,Holy moley!<br>But the show must go on...
Word,1,Scene1SaveAction,"Time to get those cameras rollin', baby!"
Word,1,Scene2SaveAction,Hmm...<br>Let's swap books here!
Word,1,Scene3SaveAction,Might as well start shooting<br>for the next season!
Word,1,AtkBomb,And... action!
