ui_craft_name.text was created: 04-07-2026 7:32:38
Filesize is: 459344 bytes

ExtendRecipeName
Group 0
Name_00000 - 初級打撃武器Lv.1
Name_00001 - 初級打撃武器Lv.2
Name_00002 - 初級打撃武器Lv.3
Name_00003 - 初級打撃武器Lv.4
Name_00004 - 初級打撃武器Lv.5
Name_00005 - 初級打撃武器Lv.6
Name_00006 - 初級打撃武器Lv.7
Name_00007 - 初級打撃武器Lv.8
Name_00008 - 初級打撃武器Lv.9
Name_00009 - 初級打撃武器Lv.10
Name_00010 - 初級打撃武器Lv.11
Name_00011 - 初級打撃武器Lv.12
Name_00012 - 初級打撃武器Lv.13
Name_00013 - 初級打撃武器Lv.14
Name_00014 - 初級打撃武器Lv.15
Name_00015 - 初級打撃武器Lv.16
Name_00016 - 初級打撃武器Lv.17
Name_00017 - 初級打撃武器Lv.18
Name_00018 - 初級打撃武器Lv.19
Name_00019 - 初級打撃武器Lv.20
Name_00020 - 中級打撃武器Lv.1
Name_00021 - 中級打撃武器Lv.2
Name_00022 - 中級打撃武器Lv.3
Name_00023 - 中級打撃武器Lv.4
Name_00024 - 中級打撃武器Lv.5
Name_00025 - 中級打撃武器Lv.6
Name_00026 - 中級打撃武器Lv.7
Name_00027 - 中級打撃武器Lv.8
Name_00028 - 中級打撃武器Lv.9
Name_00029 - 中級打撃武器Lv.10
Name_00030 - 中級打撃武器Lv.11
Name_00031 - 中級打撃武器Lv.12
Name_00032 - 中級打撃武器Lv.13
Name_00033 - 中級打撃武器Lv.14
Name_00034 - 中級打撃武器Lv.15
Name_00035 - 中級打撃武器Lv.16
Name_00036 - 上級打撃武器Lv.1
Name_00037 - 上級打撃武器Lv.2
Name_00038 - 上級打撃武器Lv.3
Name_00039 - 上級打撃武器Lv.4
Name_00040 - 上級打撃武器Lv.5
Name_00041 - 上級打撃武器Lv.6
Name_00042 - 上級打撃武器Lv.7
Name_00043 - 上級打撃武器Lv.8
Name_00044 - 上級打撃武器Lv.9
Name_00045 - 上級打撃武器Lv.10
Name_00046 - 上級打撃武器Lv.11
Name_00047 - 上級打撃武器Lv.12
Name_00048 - ★１０打撃武器Lv.1
Name_00049 - ★１０打撃武器Lv.2
