section,group,id,text
Word,0,Scene1GoAction,カーット！<br>演技プランがなってないＺＥ！
Word,0,Scene2GoAction,カーット！<br>アクターのソウルを感じられないNE！
Word,0,Scene3GoAction,ホーリーシット！<br>だが、フィルムはノンストップだ！
Word,0,Scene1SaveAction,さぁて、クランクインの時間だＮＥ！
Word,0,Scene2SaveAction,ふぅむ……ここはひとつ<br>ブックをチェンジするとしよう！
Word,0,Scene3SaveAction,ネクストシーズンの<br>撮影といこうじゃないか！
Word,0,AtkBomb,アァクシ
Word,1,Scene1GoAction,¡CORTAR!<br>¡Ciйete al guion!
Word,1,Scene2GoAction,"¡CORTAR!<br>¡Profundiza, muestrame algo de EMOCION!"
Word,1,Scene3GoAction,¡Santo cielo!<br>Pero el espectaculo debe continuar...
Word,1,Scene1SaveAction,"¡Es hora de poner en marcha esas cámaras, cariño!"
Word,1,Scene2SaveAction,Hmm...<br>¡Intercambiemos libros aqui!
Word,1,Scene3SaveAction,¡También podría empezar a rodar<br>para la próxima temporada!
Word,1,AtkBomb,Y... ¡accion!
